code,name,r,g,b
5P1145,SMOOTH SAILING,211,223,230
6P0165,BIT OF LILAC,230,204,230
5P1105,PRECIOUS DEW DROP,204,227,232
8P1785,GENTLY RAINING,220,221,225
1P0433,SUNRISE PINK,242,211,213
8P0198,SILK PALACE,227,225,215
2P0602,BAJA BEIGE,249,221,195
6P1370,FROSTY LILAC,229,211,226
1P0482,WHISPER OF ROSE,248,205,212
7P2471,GENTEELE,237,223,207
5P1169,HEATHER HEIGHTS,210,223,232
3P2095,MORNING STROLL,241,231,194
5P1137,LAKE OF SWANS,209,224,232
4P0906,GREENBLUSHED OASIS,223,236,208
6P1410,MYRTLE MIST,234,206,226
4P2112,MINTED,233,239,194
7P1649,PALE STARLET,243,216,208
4P0882,GREEN TWIG,226,238,203
6P0158,NOSTOLGIC LILAC,227,208,231
2P0586,WALK ON THE BEACH,248,224,194
3T0731,SWEET HONEY,250,231,183
7P0180,DRIFTING DUNE,233,220,215
6P0174,TOUCH OF BLUSH,244,203,219
7P1633,BEIGE BLUSH,246,218,203
4P0110,LAZY LAKE,203,240,222
4P2185,BUBBLE BATH,207,234,225
4P0092,MISTY VALE,221,234,213
8P1833,WISPS OF CLOUDS,220,226,222
4P0098,MINT FRAPPE,219,231,218
5P0125,AQUA ICE,195,233,235
3T0772,SUN AND FUN,255,238,167
1P0505,SWEET SUNRISE,246,215,207
8P2549,HUSH HUSH,236,221,212
7P2500,SIERA'S QUILT,237,222,210
7P0178,HAZEL CREAM,228,221,220
7P1602,BEACH PARTY,246,226,196
7P2426,MOONSHINE,240,227,202
2P2027,PEACH SODA,247,225,196
6P1322,MORE LILAC,223,213,232
7P1948,FLOATING LANTERN,232,226,212
7P1950,MIRAGE,232,226,212
8P1713,SUMMER WHITE,233,223,214
4P2138,FLOURISH,218,238,213
8P1729,PEARLY WHITE,233,221,216
6P1201,NEW BLUE DAWN,218,224,227
8P1697,MILK MOUSTACHE,226,225,219
7P0337,CREAM SWIRLS,238,223,209
5P0148,GREAT WHITE,216,218,234
8P1689,SOUTHERN PLANTATION,225,225,220
8P2589,GIVEN GRACE,229,220,221
6P1402,AMETHYST ROSEBUD,235,209,225
7P1657,ROSE PORCELAIN,241,218,211
7P1489,CHIC SPROUT,220,231,219
5P0130,BABY POOL,199,235,232
2P2061,TWIRLING RIBBON,249,229,190
3P1873,SHINING STAR,240,229,201
5P0149,LOBELIA,211,221,236
7P1513,SPINNEY MOUNTAIN,229,232,210
8P1962,WINTER MORNING,225,225,221
3P0049,WHITE BLISS,238,227,206
6P1418,CROWN PRINCESS,236,209,225
8P1769,ICE CREAM SOCIAL,230,219,222
4P2202,RIVER MIST,208,233,228
4P0099,MINT PASSION,220,229,222
6P1193,GULF BREEZE,215,225,230
8P0210,PALM BEACH SAND,228,225,219
8P1825,MOON DANCE,217,228,226
5P1121,BARELY BLUE,207,228,234
2P1856,ESSENCE,238,226,208
7P1665,SPRING PETALS,239,217,216
4P0969,SEA SWIRL,204,236,229
7P2446,SIAMESE CAT,240,227,205
4P1009,FORGOTTEN SECRET,204,235,230
4P2197,POOL DIP,200,236,232
4P2152,FALLING FOR GREEN,213,238,220
7P1625,CRYSTAL BEACH,247,222,203
6P1217,CLARITY,214,224,233
3T0819,LEMON LIGHT,246,237,187
6P1386,VERY LAVENDER,235,210,227
7P2452,LILY BUD,240,227,206
4P2105,SPRING IS HERE,237,238,197
4P1881,CELESTIAL TEA,229,237,207
3P1871,POISE,241,230,202
4P0273,DIVA MINT,219,235,219
4P0109,TWINKLE GLOW,207,241,223
8P0211,HILL GRAY,219,227,227
8P1960,SECRETS,227,226,221
7P1586,SAND DOLLAR BEACH,245,229,199
6P0175,SWEET NOTHINGS,241,203,228
7P1481,GLIMPSE OF GREEN,221,233,220
6P1314,MELODY OF MAY,228,218,228
7P1943,BEING DISCREET,233,228,214
6P0166,BELLADONNA,235,207,231
7P2399,LILY IN A POND,233,232,210
6P1338,PURPUREA,229,215,230
8P1958,WOVEN SCARF,228,225,222
3P0086,INTRICATE,232,235,208
3P0059,WILD SILK,251,229,193
3T0747,SILKY CORN,255,236,179
1P0019,PINK TINT,240,222,214
6P1394,ANGEL KISS,238,211,226
1P0217,ADORABLE BLUSH,253,226,195
6P1361,MORNING MIST,231,220,225
2P0714,HONEY CREAM,251,230,193
6P0173,SWEET SHOP,244,209,222
1P0561,JUST BARELY,247,224,205
3P2082,SCENIC SPOT,247,233,195
4P0107,SPRITE FLOWER,212,237,226
4P2135,YOUTHFUL,219,239,218
3P0858,TIME FOR FUN,235,240,201
1P0529,CAMEO KISS,249,218,209
8P2679,WHITE SPHERE,228,227,222
2P0585,TAFFY PULL,250,225,201
7P1570,ARTISTOS,242,229,206
2P2030,CLOUDY APPLE,249,228,199
6P1378,APRIL ANTHEM,236,215,226
8P2556,LACED UP,237,225,216
2P0042,ADONIS CREAM,247,228,202
2P1908,ROSELLINI,233,224,221
7P1473,SPRING INSPIRATION,218,236,223
6P1289,SOFT LAVENDER,223,223,231
7P1529,SPRING MELODY,234,233,211
5P1113,JUNE BREEZE,214,228,234
6P1257,PRELUDE TO PURPLE,221,224,232
3T0755,SUN RAY,255,240,177
4P2123,YOUNG BUD,227,238,213
5P0129,MISTY MIRAGE,210,232,234
1P0545,ADANNA AIRE,248,224,206
7P1944,SCOTCH DROPS,232,229,218
7P1553,POWDERHORN,240,230,209
4P2117,TINGE OF SPRING,232,236,211
7P1497,SUMMER SMILE,226,235,218
6P0156,SIMPLE SWEET,231,214,233
7P1953,OPAL STONE,234,229,217
7P1946,PINE SEED,232,228,220
6P2298,FEELING SPECIAL,223,225,231
4P2158,WALKING DAY,212,239,227
2P1874,SPARKLING WINE,243,236,200
7P1578,ANTIQUE ALMOND,248,231,200
6P0172,TEABERRY BUDS,242,210,227
6P0164,JUST DEMURE,234,212,233
1P0003,PINK ESCAPE,246,218,216
8P2634,DEW IN THE MORN,222,230,228
4P2209,REFRESH,221,232,227
7P1956,STARRY WHITE,233,228,220
7P1521,BRIDAL WREATH,234,233,214
2P2031,PASSING THOUGHT,248,229,203
4P2168,SOFT PEAK,218,238,224
2P0229,CALMING TOUCH,244,228,209
2P0593,FRESH IVORY,245,229,207
3P1870,SOUL SENSATION,242,234,205
6P1297,PURPLE PASTEL,230,222,229
6P1281,HAPPY HEATHER,227,225,229
6P0154,GLISTENING GLAZE,228,216,236
5P0123,FROSTED ICE,207,233,238
4P2184,QUIET CORNER,221,235,225
6P2309,GRAPE SCENT,225,225,231
8P0193,SWEET GARDENIA,234,229,219
8P1957,WISHING WELL,233,228,221
2P0601,BEIGEFUL,250,226,205
4P0985,TENDER TOUCH,208,239,232
4P2127,PEAR TEA,225,235,222
5P0138,WHISP OF BLUE,214,229,237
8P0345,DISTANT HAZE,225,228,229
6P1265,PROUD PRUDENCE,227,225,230
7P1940,TIP OF ICEBERG,233,231,219
8P2749,SANDY WHITE,238,231,214
8P0194,SUNWASHED,232,230,221
7P0177,INNOCENT CREAM,233,226,224
5P0124,CRISP MORNING,209,236,235
3P2068,SOFT HANDS,248,233,201
7P2431,LIGHT SPRINKLE,244,233,206
3P0060,STARCHED LINEN,251,232,199
8P1801,EASTER LILY,223,230,230
7P1949,LIGHT DESSERT,233,231,220
7P2391,GROWING PLANT,232,234,218
7P1505,SPRING BREAK,232,235,217
4P0100,MISTY AVALON,220,236,227
4P1885,FROZEN LAKE,228,232,224
6P1329,MISS AMERICA,234,223,227
4P0093,ELEMINT,219,245,219
6P1273,ROYAL TOUCH,230,224,230
8P2615,SKY SHIMMER,225,231,228
4P2097,SOBA,239,239,206
7P1601,ALMONDINE,247,230,207
6P1401,SWEET BEGINNINGS,236,218,230
2P0634,APRICOT BLUSH,255,226,202
2P0609,SALTWATER TAFFY,251,226,207
3P2081,BATH FOAM,245,237,202
3T0763,CELEBRATION SUN,255,239,187
5P0147,GOSSAMER,223,225,236
7P1441,AQUA APPEAL,212,239,232
6P1377,SUNRISE SURPRISE,236,220,229
4P2145,QUIET MORNING,224,237,224
1P0028,EARNEST PINK,249,226,210
6P2325,HINT OF VIOLET,229,222,234
3P0066,PALE SATEEN,241,232,213
6P1233,LAVENDER MIST,224,227,234
2P2045,BREAK OF DAY,248,235,202
4P1880,CUCUMBERINI,229,238,219
7P1609,SOFT SAND,245,230,211
4P0097,WHITE CLOVER,226,236,224
2P2053,SOFT TOUCH,244,234,208
4P2159,PICNIC DAY,217,239,229
4P2216,SMALL TWIG,222,235,229
6P1241,LAVENDER FREEZE,225,228,233
7P2408,VANILLIAN,238,236,213
3P0249,CANDLE GLOW,246,239,201
2P0682,SUMMER TOWN,255,234,196
6P1393,EASTER MORN,239,220,228
1P0553,FACE OF INNOCENCE,251,226,210
8P2730,ARCTIC ALPS,239,231,218
8P2705,SILVER STREAM,233,230,225
7P2484,WIFT OF PERFUME,244,231,213
3T0771,SUNWASHED YELLOW,255,242,187
5P0145,ELFIN MIST,223,228,236
1P0012,SHEER PINK,249,222,217
8P2642,FLUTTERING WINGS,225,234,229
7P1941,FINE WINE,237,232,220
6P0153,GENTLE FLOWER,232,221,235
7P2425,BEIGE WOOL,243,233,213
7P1617,ANGEL FOOD,245,231,213
8P1809,SAIL AWAY,221,233,234
4P0115,MOUNTAIN MIST,213,242,232
6P1385,LITTLE LILAC,234,221,234
7P2412,BLINKING EYES,239,234,217
7P0179,FOSSIL BEIGE,238,229,223
7P2445,SOYA,242,233,215
6P2380,RAE'S RENDITION,241,226,223
6P0163,DROPS OF VIOLET,239,217,233
4P1887,CLEAR CREEK,229,234,227
2P2060,BEAM OF LIGHT,245,235,210
2P2067,WARM CROISSANT,246,234,210
3P0857,PRAIRIE PATH,235,243,212
6P1369,LIGHT LILAC,235,224,231
2P2041,OLD RELIC,247,235,208
6P0171,MARBLE TINT,246,219,225
6P2356,BELL OF LOVE,235,222,233
3P0233,ANGEL WING,252,237,200
2P2037,TATE'S TIME,255,233,201
8P2721,NOSTALGIA,240,232,219
4P1877,GREEN APPLE,234,237,220
6P1249,PURPLE BLUSH,228,226,236
2P0666,SUNNY OUTLOOK,255,236,198
4P0265,DELICATE GREEN,230,243,218
2P2036,PUFFAY,248,233,210
6P1305,PURPLE PRETENDER,232,226,233
