code,name,r,g,b
404E7E,7245,64,78,126
3F6E4F,7581,63,110,79
455069,9635,69,80,105
4F5450,K129,79,84,80
594851,K290,89,72,81
5F523E,K164,95,82,62
386468,X151,56,100,104
43684D,9760,67,104,77
306194,9658,48,97,148
5D4F42,K189,93,79,66
684344,K263,104,67,68
53465B,9627,83,70,91
3F6555,9766,63,101,85
504D55,7181,80,77,85
565147,8429,86,81,71
555D3C,9815,85,93,60
674146,K029,103,65,70
703E41,9997,112,62,65
50465E,K045,80,70,94
584454,8197,88,68,84
2F805B,9755,47,128,91
644642,K220,100,70,66
3F526B,9669,63,82,107
39734F,X156,57,115,79
50504D,8301,80,80,77
595041,K173,89,80,65
3C5370,X144,60,83,112
434F65,X143,67,79,101
3B4F7D,9642,59,79,125
713F3C,9987,113,63,60
30795A,9748,48,121,90
5E424B,K030,94,66,75
305B90,9647,48,91,144
FEA800,7941,254,168,0
FEB600,7909,254,182,0
613D4E,X162,97,61,78
504954,7141,80,73,84
4F5F3D,9785,79,95,61
5E4C3E,K197,94,76,62
545243,K157,84,82,67
3E5B5A,9711,62,91,90
3E5F55,7557,62,95,85
584B45,K281,88,75,69
FEC200,X105,254,194,0
43505F,7221,67,80,95
337E4D,9765,51,126,77
404D69,9659,64,77,105
5F4740,K218,95,71,64
355775,X145,53,87,117
5B4942,8653,91,73,66
50415C,9623,80,65,92
5B4842,8741,91,72,66
693E3F,9980,105,62,63
2176AC,X195,33,118,172
404F62,7301,64,79,98
32567F,9668,50,86,127
375F5E,9719,55,95,94
4C4F4C,8309,76,79,76
484C56,7229,72,76,86
3B585C,7469,59,88,92
4C4556,9608,76,69,86
59493F,K165,89,73,63
365C5F,X152,54,92,95
594642,9582,89,70,66
26638E,9653,38,99,142
34556E,7341,52,85,110
554B40,K121,85,75,64
3A5164,9685,58,81,100
474C51,K294,71,76,81
346C4D,X155,52,108,77
1D739D,9667,29,115,157
2E5B6F,X148,46,91,111
275C91,7325,39,92,145
2B6764,9713,43,103,100
534842,8749,83,72,66
38555D,X150,56,85,93
484C4C,8333,72,76,76
3D4C60,7293,61,76,96
27755E,7549,39,117,94
2A6071,9683,42,96,113
2E5282,1306,46,82,130
405053,K298,64,80,83
208264,X184,32,130,100
31566B,9664,49,86,107
325766,7429,50,87,102
4D4847,8229,77,72,71
2A5684,9654,42,86,132
434B51,8269,67,75,81
4F4744,K273,79,71,68
285B79,9660,40,91,121
2B5971,9684,43,89,113
4B4E40,K155,75,78,64
4A4848,K082,74,72,72
484A48,8285,72,74,72
265D7A,7357,38,93,122
434B4E,9469,67,75,78
4C4844,8293,76,72,68
47484B,8245,71,72,75
47454F,9631,71,69,79
4C4448,8213,76,68,72
266A61,7525,38,106,97
3C5050,8341,60,80,80
19708C,9676,25,112,140
345A52,7541,52,90,82
305561,9687,48,85,97
2B5D5F,7485,43,93,95
40494E,7381,64,73,78
1D628A,X146,29,98,138
127E88,9698,18,126,136
2A6256,9732,42,98,86
36574A,9743,54,87,74
3F5340,9816,63,83,64
3E4158,9648,62,65,88
235F69,9700,35,95,105
38435F,9644,56,67,95
3D4255,9636,61,66,85
335152,7477,51,81,82
354B56,9691,53,75,86
35485A,0U29,53,72,90
33534D,9767,51,83,77
0990A4,7430,9,144,164
3C4948,K133,60,73,72
196A6D,7453,25,106,109
157967,9739,21,121,103
384251,9655,56,66,81
36444D,K099,54,68,77
078BBE,9666,7,139,190
00AA9B,7510,0,170,155
325142,9750,50,81,66
00A8A0,7502,0,168,160
166961,9731,22,105,97
40403F,8253,64,64,63
00A08C,9721,0,160,140
03A873,X175,3,168,115
009BA7,7438,0,155,167
