code,name,r,g,b
WW 0110,Condensed milk,245,237,218
WW 0111,Mayo and cheese,241,235,221
WW 0112,Well groomed poodle,226,219,205
WW 0113,Khoya khoya chaand,241,233,228
WW 0114,Snow cones,244,237,235
WW 0115,Icing sugar,242,233,231
WW 0116,Smoky white,229,222,223
WW 0117,Fluffy baos,238,233,231
WW 0118,Noon dream,238,233,230
WW 0119,15 Peace lilies,243,235,232
WW 0120,Egyptian cotton,229,219,211
WW 0121,Pink ivory,236,230,230
WW 0122,English rose,238,229,224
WW 0123,Avalanche of snow,239,231,231
WW 0124,Foam party,242,233,232
WW 0125,Wrinkled skirts,238,233,234
WW 0126,French vanilla macaroons,242,233,237
WW 0127,Taffeta skirts,234,225,232
WW 0128,Easy banter,226,219,226
WW 0129,Amateur podcast,238,233,234
WW 0130,Flushed cheeks,238,234,237
WW 0131,Bridezilla,242,235,239
WW 0132,You like pinacoladas,238,230,235
WW 0133,Pumice white,241,230,233
WW 0134,Momo shaped clouds,244,235,237
WW 0135,Pearlescent,240,230,234
WW 0136,Pink salt,246,232,232
WW 0137,Salt bae,236,232,234
WW 0138,Loofah white,234,230,232
WW 0139,Sprinkled salt,236,230,230
WW 0140,Ashy white,224,219,219
WW 0141,Crumpled sheets,236,233,221
WW 0142,Chandni,244,241,233
WW 0143,Thermocol beads,241,240,230
WW 0144,Porcelain teacups,234,233,229
WW 0145,Storks in Sangolda,242,238,234
WW 0146,Casper is friendly,239,238,232
WW 0147,Déjà vu,243,242,230
WW 0148,Egg white,243,239,224
WW 0149,Patiala diamonds,242,238,228
WW 0150,Crisp shirts,237,237,227
WW 0151,Fluffy appams,232,232,222
WW 0152,Perfect sugar cubes,240,237,220
WW 0153,Murakami morning,228,230,232
WW 0154,Soft white,233,236,237
WW 0155,Silver streak,228,230,234
WW 0156,Grey swarm,217,218,217
WW 0157,A place to ponder,231,233,240
WW 0158,White denims,225,227,232
WW 0159,Blue light,219,222,228
WW 0160,Iris sky,218,221,229
WW 0161,Opal white,222,226,229
WW 0162,Morning peace,221,228,234
WW 0163,Angel breath,213,220,225
WW 0164,Swim with me,219,231,237
WW 0165,Perfect teeth,233,235,232
WW 0166,Wide grins,233,236,233
WW 0167,In my coracle,228,233,231
WW 0168,Clouds of foam,227,237,233
WW 0169,Soft cuticles,238,239,236
WW 0170,Mint white,230,236,222
WW 0171,Arctic blue,224,230,226
WW 0172,Peppermint breath,231,235,236
WW 0173,Forest pixie,233,236,231
WW 0174,Brides in white,233,237,233
WW 0175,Semi precious,236,241,238
WW 0176,42 watt smiles,221,220,219
WW 0177,Ice moon,235,242,238
WW 0178,Ode to west wind,233,243,233
WW 0179,Blue cheese,223,235,232
WW 0180,Minty white,225,240,236
WW 0181,Rice congee,233,240,233
WW 0182,Cooling wax,237,243,229
WW 0183,Frost on leaves,233,235,217
WW 0184,Protein shake,235,238,218
WW 0185,Old pearls,246,243,223
WW 0186,Desi ghee,245,244,221
YY 1000,Pineapple juice,245,237,197
YY 1001,Cream yellow,247,234,173
YY 1002,Mumbai at midnight,243,230,144
YY 1003,Sponge cake,238,224,139
YY 1004,Good morning sunshine,239,220,96
YY 1005,Sunflowers in the wind,232,203,45
YY 1006,Jackfruit pulp,234,211,58
YY 1007,Hawaiian beach,200,166,56
YY 1008,Key lime pie,246,238,203
YY 1009,Custard,251,231,162
YY 1010,Shiny buttercups,244,229,160
YY 1011,Pale gold,241,216,131
YY 1012,Yellow warbler,243,215,99
YY 1013,Sunlit pool,237,213,87
YY 1014,Happy yellow,247,216,66
YY 1015,Yellow zinnias,231,191,46
YY 1016,Flowers in marshland,248,241,187
YY 1017,Flower bud,250,239,163
YY 1018,Moong daal,247,229,116
YY 1019,Lemon and spoon,251,226,105
YY 1020,Sun's out,253,226,76
YY 1021,Scoop of mango,246,211,32
YY 1022,A carpet of Amaltas,229,191,71
YY 1023,Chandan blessings,227,180,63
YY 1024,Peekaboo yellows,246,238,198
YY 1025,Summer isn't here yet,250,238,182
YY 1026,Pina colada,253,235,163
YY 1027,Cornflakes,247,218,132
YY 1028,Capri summer,249,222,124
YY 1029,Luscious yellow,249,214,67
YY 1030,Spun gold,241,204,70
YY 1031,Tart yellow,247,212,50
YY 1032,Lemon scoop,251,238,192
YY 1033,Canary creams,251,227,149
YY 1034,Old hollywood star,254,231,136
YY 1035,Flowers in the meadow,253,220,111
YY 1036,Hopper painting,254,220,107
YY 1037,Zari borders,254,214,83
YY 1038,Alphonso season,244,194,78
YY 1039,Summer holidays,247,193,54
YY 1040,Delicate lemon,246,241,204
YY 1041,Homemade cream,248,229,155
YY 1042,Lemon tint,253,225,139
YY 1043,Tequila sunrise,248,216,111
YY 1044,Mimosa blossom,247,206,87
YY 1045,Saffron Finch,243,200,47
YY 1046,Neon Yellow,254,210,23
YY 1047,Chennai at 2pm,243,194,11
YY 1048,Golden cream,241,224,188
YY 1049,Faded dream,249,225,166
YY 1050,Light yellow,254,231,177
YY 1051,Before sunrise,245,203,120
YY 1052,Buttered popcorn,254,203,78
YY 1053,Bumblebee,248,199,64
YY 1054,Sunshades,217,171,55
YY 1055,A favourite lehenga,201,154,44
YY 1056,Morning dew,247,234,204
YY 1057,Just woke up,253,232,182
YY 1058,Butter Yellow,248,217,139
YY 1059,Primrose,254,212,114
YY 1060,Rubber ducky,254,201,102
YY 1061,Sunflower fields,254,192,51
YY 1062,Lemon grove,248,184,42
YY 1063,School bus is here,205,149,56
YY 1064,Shrikhand,246,229,196
YY 1065,Mango milkshake,248,230,176
